danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.864,0.586,7,-8.007,1,0.0676,0.394,0.255,0.142,0.663,133.976,audio_features,3cHHxlwvB16a1PllSM97jX,spotify:track:3cHHxlwvB16a1PllSM97jX,https://api.spotify.com/v1/tracks/3cHHxlwvB16a1PllSM97jX,https://api.spotify.com/v1/audio-analysis/3cHHxlwvB16a1PllSM97jX,139925,4
0.912,0.878,2,-4.517,1,0.343,0.0565,0.000222,0.255,0.677,134.951,audio_features,1Za23uNH9LP4gcflnvAGCE,spotify:track:1Za23uNH9LP4gcflnvAGCE,https://api.spotify.com/v1/tracks/1Za23uNH9LP4gcflnvAGCE,https://api.spotify.com/v1/audio-analysis/1Za23uNH9LP4gcflnvAGCE,117740,4
0.7,0.749,0,-6.288,0,0.14,0.0179,0.0,0.155,0.515,175.111,audio_features,6aZw4hMz6ZZqjALf0GAbKy,spotify:track:6aZw4hMz6ZZqjALf0GAbKy,https://api.spotify.com/v1/tracks/6aZw4hMz6ZZqjALf0GAbKy,https://api.spotify.com/v1/audio-analysis/6aZw4hMz6ZZqjALf0GAbKy,93257,4
0.788,0.544,7,-9.738,0,0.324,0.141,0.0,0.0947,0.411,75.474,audio_features,11gTRcdz4wK32fghA2vrX7,spotify:track:11gTRcdz4wK32fghA2vrX7,https://api.spotify.com/v1/tracks/11gTRcdz4wK32fghA2vrX7,https://api.spotify.com/v1/audio-analysis/11gTRcdz4wK32fghA2vrX7,114437,4
0.466,0.601,8,-4.468,1,0.053,0.0315,0.0,0.0927,0.627,53.376,audio_features,0PBTlQ84CBJF0tBnKGmQa6,spotify:track:0PBTlQ84CBJF0tBnKGmQa6,https://api.spotify.com/v1/tracks/0PBTlQ84CBJF0tBnKGmQa6,https://api.spotify.com/v1/audio-analysis/0PBTlQ84CBJF0tBnKGmQa6,148082,4
0.521,0.83,6,-4.071,1,0.0453,0.0389,0.0041,0.306,0.636,120.892,audio_features,01J7Q2QyqNX2gFEqfoSNju,spotify:track:01J7Q2QyqNX2gFEqfoSNju,https://api.spotify.com/v1/tracks/01J7Q2QyqNX2gFEqfoSNju,https://api.spotify.com/v1/audio-analysis/01J7Q2QyqNX2gFEqfoSNju,150160,4
0.769,0.31,9,-14.249,0,0.372,0.872,0.0,0.144,0.71,77.994,audio_features,6bCLkzoE3agC7Ws9NxVxIn,spotify:track:6bCLkzoE3agC7Ws9NxVxIn,https://api.spotify.com/v1/tracks/6bCLkzoE3agC7Ws9NxVxIn,https://api.spotify.com/v1/audio-analysis/6bCLkzoE3agC7Ws9NxVxIn,120112,4
0.479,0.614,6,-6.932,0,0.0304,0.0171,0.548,0.156,0.258,96.027,audio_features,1nginMHZwOYjtYDndhCeY2,spotify:track:1nginMHZwOYjtYDndhCeY2,https://api.spotify.com/v1/tracks/1nginMHZwOYjtYDndhCeY2,https://api.spotify.com/v1/audio-analysis/1nginMHZwOYjtYDndhCeY2,236250,4
0.762,0.822,0,-3.346,1,0.137,0.011,0.0,0.0858,0.565,127.054,audio_features,2m3PVx1gsVB5upxi94IW8I,spotify:track:2m3PVx1gsVB5upxi94IW8I,https://api.spotify.com/v1/tracks/2m3PVx1gsVB5upxi94IW8I,https://api.spotify.com/v1/audio-analysis/2m3PVx1gsVB5upxi94IW8I,174344,4
0.358,0.416,0,-10.972,0,0.0596,0.325,0.356,0.173,0.128,139.945,audio_features,1P9oRiZJWnxe2pZmYUZ5eC,spotify:track:1P9oRiZJWnxe2pZmYUZ5eC,https://api.spotify.com/v1/tracks/1P9oRiZJWnxe2pZmYUZ5eC,https://api.spotify.com/v1/audio-analysis/1P9oRiZJWnxe2pZmYUZ5eC,279250,3
